label,name,lat,lon,city,street,housenumber,postcode,opening_hours
office,"Oficina (Calle Ramón y Cajal 18, Leganés)",40.329559,-3.73727,Leganés,Calle de Ramón y Cajal,18,28916,
node/3686157132,Burger King,40.036183,-3.603456,,,,,
node/4449837691,Burger King,40.133286,-3.656298,,,,,
way/1497789845,Burger King,40.164336,-3.665629,,,,,
way/301859277,Burger King,40.183099,-3.678276,,,,28341,
way/759987899,Burger King,40.194223,-3.690823,Valdemoro,Calle Rosalía de Castro,1,28342,
way/1125139659,Burger King,40.20345,-3.798147,,,,,
node/746627029,Burger King,40.227638,-3.760569,,Calle Planeta Venus,2,28983,
way/298902402,Burger King,40.228082,-3.779291,,,,,
way/60044139,Burger King,40.243833,-3.777833,,Avenida de las Lagunas,3,28980,
node/13377797577,Burger King,40.246,-3.707019,,,,,
node/2061879185,Burger King,40.272351,-3.695651,,,,,
node/10266409318,Burger King,40.277308,-3.80368,,Calle del Pico de la Mira,88,,
node/1112015371,Burger King,40.283876,-3.802215,,,,,
node/2599542242,Burger King,40.285143,-3.816509,,,,,
node/10792703614,Burger King,40.285174,-3.91807,,,,,
way/1050768070,Burger King,40.290334,-3.993886,,,,,
way/1173781965,Burger King,40.295544,-3.817153,Fuenlabrada,Calle del Oasis,2,28942,
way/1156068846,Burger King,40.295596,-3.76261,,,,,
node/1092878580,Burger King,40.296602,-3.800621,,,,,
node/13192600286,Burger King,40.299479,-3.924362,,,,,
node/11401552485,Burger King,40.303236,-3.833237,,,,,
node/2631338026,Burger King,40.306456,-3.80999,,,,,
way/418665227,Burger King,40.315965,-3.847554,,,,,
node/2905961116,Burger King,40.317087,-3.898085,,,,,
node/2784089953,Burger King,40.32123,-3.864697,,,,,
way/431072075,Burger King,40.325927,-3.780831,,,,,
node/13457640691,Burger King,40.328927,-3.727442,,,,,
way/471722581,Burger King,40.329569,-3.882788,Móstoles,Avenida Olímpica,25,28935,
node/12587586255,Burger King,40.331282,-3.716004,,,,,
way/502841208,Burger King,40.332798,-3.824871,Alcorcón,Avenida 1º de Mayo,1,28922,09:00-01:00
node/1511622328,Burger King,40.333365,-3.854413,,,,,
node/2613719490,Burger King,40.336594,-3.768967,,,,,
node/1998376334,Burger King,40.337571,-3.526372,,,,,
node/11083618706,Burger King,40.338684,-3.733717,,,,,
node/1998376340,Burger King,40.340532,-3.535175,,,,,
node/4065359328,Burger King,40.346389,-3.810407,,,,,
way/101974944,Burger King,40.348408,-3.850002,,,,,
node/11794162206,Burger King,40.348854,-3.51796,,,,,
way/332587893,Burger King,40.350578,-3.901496,Villaviciosa de Odón,Avenida de Quitapesares,,,
way/667746336,Burger King,40.353766,-3.549078,Rivas Vaciamadrid,Avenida de la Técnica,4,28523,
node/10726315310,Burger King,40.356236,-3.704697,,,,,
node/4912455161,Burger King,40.358601,-3.832802,,,,,
node/6723530125,Burger King,40.359493,-3.775841,,,,,
way/1163945142,Burger King,40.365694,-3.738638,,,,,
way/753703519,Burger King,40.3679,-3.588472,,,,,
way/283638701,Burger King,40.369374,-3.631538,,,,,
node/4374935729,Burger King,40.371714,-3.69517,,,,,
node/5602005239,Burger King,40.372632,-3.730413,,,,,
way/1094224072,Burger King,40.374477,-3.775761,,,,,
way/674299894,Burger King,40.38241,-3.626463,,,,,
node/3777486881,Burger King,40.385482,-3.708301,Madrid,Calle de Marcelo Usera,109,28026,
node/622204540,Burger King,40.385787,-3.763015,,,,,
way/473868951,Burger King,40.387069,-3.752075,,,,,
node/3123215557,Burger King,40.387079,-3.640083,Madrid,Avenida de la Albufera,270,28018,
way/304004266,Burger King,40.389566,-3.494136,,Calle Duratón,8,,
node/2304484464,Burger King,40.389948,-3.73537,,,,,
node/1080996458,Burger King,40.391961,-3.656284,,,,,
node/4769471534,Burger King,40.393479,-3.723278,Madrid,,,,
node/10937770886,Burger King,40.393514,-3.67857,,,,,
node/2636758535,Burger King,40.393844,-3.765115,Madrid,Calle de Maqueda,30,28024,
node/1600767375,Burger King,40.394221,-3.79614,,,,,"Mo-Th 13:00-23:30; Fr 13:00-24:00; Sa,Su 00:00-01:00,13:00-24:00"
node/2606420203,Burger King,40.396055,-3.711821,,,,,
node/3254987866,Burger King,40.397725,-3.669152,Madrid,Calle de Melquiades Biencinto,4,28053,Su-Th 12:30-24:00; Fr-Sa 12:30-00:30
node/3895220847,Burger King,40.401136,-3.704276,,,,,Mo-Th 12:30-00:30; Fr-Su 12:00-01:00
node/11210080138,Burger King,40.404089,-3.61055,,,,,
way/1131163538,Burger King,40.404964,-3.592007,Madrid,Carretera de Vicálvaro a la Estación de O'Donnell,,28032,
node/2304484684,Burger King,40.404995,-3.745887,,,,,
node/10011137809,Burger King,40.40515,-3.559546,Madrid,Avenida Miguel Delibes,55,28052,
way/326955764,Burger King,40.406062,-3.889356,Boadilla del Monte,Avenida Nuevo Mundo,14,28660,
node/12196594520,Burger King,40.40608,-3.707323,,Ronda de Toledo,5,,
node/2529991306,Burger King,40.406943,-3.674652,,,,,
node/2078116017,Burger King,40.407124,-3.693938,Madrid,,,,
node/5586709673,Burger King,40.407264,-3.691319,,,,,
node/2939048403,Burger King,40.407858,-3.630619,,,,,
way/223128134,Burger King,40.410993,-3.750134,,,,,
node/2951316219,Burger King,40.412075,-3.658336,Madrid,Calle del Corregidor Diego de Valderrábano,25,28030,
way/681503955,Burger King,40.412163,-3.693519,Madrid,Paseo del Prado,26,28014,
way/568771392,Burger King,40.41299,-3.898151,Boadilla del Monte,Calle de Monte Amor,1,28660,
node/4678874493,Burger King,40.413032,-3.700287,,,,,
node/7341225608,Burger King,40.413739,-3.720676,Madrid,Paseo de la Virgen del Puerto,,28005,"Mo-Th 12:00-01:00, Fr 12:00-03:00, Su 12:00-02:00"
node/12425250871,Burger King,40.415667,-3.703324,Madrid,Calle de Carretas,8,28012,24/7
node/178821228,Burger King,40.416027,-3.70506,Madrid,Calle de Esparteros,3,28012,
way/261806925,Burger King,40.417787,-3.671926,,,,,
node/12144695461,Burger King,40.420184,-3.5542,,,,,
node/184049470,Burger King,40.420414,-3.704979,Madrid,Gran Vía,40,28013,
node/10827905563,Burger King,40.421645,-3.71984,,,,,
node/2651530874,Burger King,40.422878,-3.710394,Madrid,Gran Vía,69,28013,
way/511539213,Burger King,40.4246,-3.600154,,,,,
node/4666017389,Burger King,40.424643,-3.544397,,,,,
node/2621636923,Burger King,40.424747,-3.678165,,,,,
node/902327015,Burger King,40.424949,-3.713018,,,,,"Mo-Th 10:00-24:00; Fr 10:00-01:30; PH,Sa 12:00-01:30; Su 12:00-00:30"
node/363997548,Burger King,40.426526,-3.700881,Madrid,Calle de Barceló,3,28004,"Su-Th 12:00-24:00, Fr,Sa 12:00-02:00"
node/1128664813,Burger King,40.427083,-3.694992,,Calle de Génova,6,,Su-Th 12:00-24:00; Fr-Sa 12:00-01:00
node/4610137789,Burger King,40.428203,-3.667753,,,,,
