,office,node/3686157132,node/4449837691,way/1497789845,way/301859277,way/759987899,way/1125139659,node/746627029,way/298902402,way/60044139,node/13377797577,node/2061879185,node/10266409318,node/1112015371,node/2599542242,node/10792703614,way/1050768070,way/1173781965,way/1156068846,node/1092878580,node/13192600286,node/11401552485,node/2631338026,way/418665227,node/2905961116,node/2784089953,way/431072075,node/13457640691,way/471722581,node/12587586255,way/502841208,node/1511622328,node/2613719490,node/1998376334,node/11083618706,node/1998376340,node/4065359328,way/101974944,node/11794162206,way/332587893,way/667746336,node/10726315310,node/4912455161,node/6723530125,way/1163945142,way/753703519,way/283638701,node/4374935729,node/5602005239,way/1094224072,way/674299894,node/3777486881,node/622204540,way/473868951,node/3123215557,way/304004266,node/2304484464,node/1080996458,node/4769471534,node/10937770886,node/2636758535,node/1600767375,node/2606420203,node/3254987866,node/3895220847,node/11210080138,way/1131163538,node/2304484684,node/10011137809,way/326955764,node/12196594520,node/2529991306,node/2078116017,node/5586709673,node/2939048403,way/223128134,node/2951316219,way/681503955,way/568771392,node/4678874493,node/7341225608,node/12425250871,node/178821228,way/261806925,node/12144695461,node/184049470,node/10827905563,node/2651530874,way/511539213,node/4666017389,node/2621636923,node/902327015,node/363997548,node/1128664813,node/4610137789,node/6121549487,node/622204591,node/3523190952,way/170505341,node/674477959,node/26289763,node/327528975,node/614939487,node/4338377884,node/11269074158,node/5109205856,node/4077525244,node/3056287062,way/1454716354,node/3014835252,way/1139030278,node/5210751039,node/1762579478,node/1452885165,node/4769476622,node/1992854977,node/3974972557,way/997439163,node/12433858548,node/3113588327,node/4609504482,node/332074128,way/945061262,node/336262498,node/6566648095,node/627574779,node/302790436,way/585852861,node/2580708138,node/5884199085,node/3211789361,node/4921020221,node/4343081824,node/3770301444,way/1360293399,node/2182364515,way/293463784,node/10606501241,way/1360293417,node/13176973077,node/13904673940,node/4715569699,way/499614429,way/743710865,node/871073568,way/376470743,node/262353392,node/2551116095,node/2606625338,node/2134285281,node/5176377207,node/9540446866,node/4394136790,node/5830690815,way/994058707,node/3057780133,way/908382642,node/831025935,node/810206915,node/637776200,way/313495189,node/4734171440,node/299938277,node/529705675,node/6922982209,node/3876914565,way/1349747787,node/2068640057,node/1444943078,way/477207073,node/2648889791,way/1367403155,way/1330622520,node/292354225,node/8936265515,node/1312900851,way/442113937,node/470926455,way/441440085,node/7137691094,node/5799799202,node/12403420156,way/1003915685
office,0.000,39.742,26.691,22.884,20.985,20.358,16.317,13.342,15.155,11.546,12.618,11.534,9.073,8.820,9.604,24.150,28.906,9.697,7.246,8.057,23.112,10.271,8.412,12.497,19.551,13.306,6.045,1.467,18.334,3.166,10.634,12.928,4.189,22.534,1.351,21.951,9.210,14.221,23.904,19.871,19.706,4.951,12.845,6.518,6.460,16.121,16.051,8.392,7.362,8.422,15.642,8.465,8.663,8.522,15.579,27.201,9.647,16.938,9.201,14.445,9.851,17.480,9.124,14.557,10.771,18.204,19.574,11.304,20.317,21.138,11.251,16.932,11.240,11.225,17.820,12.771,16.903,12.335,22.327,12.013,12.658,13.298,13.145,19.199,21.905,13.458,13.736,13.470,24.489,22.768,19.363,14.076,13.804,13.558,19.222,20.889,14.968,19.537,27.314,15.422,22.475,20.130,16.856,14.810,16.871,19.197,15.217,21.010,28.949,20.026,48.831,25.168,31.255,26.101,16.527,16.992,31.578,24.298,16.392,23.520,23.404,23.686,22.789,22.607,25.407,31.998,25.390,21.938,24.622,19.802,25.258,25.288,37.690,24.919,25.677,26.579,26.833,27.692,27.631,37.638,25.390,26.405,26.172,25.569,36.538,42.543,26.673,24.002,24.725,47.137,27.704,28.576,28.151,30.183,33.377,27.153,29.907,41.457,45.536,48.875,46.899,28.338,30.658,30.837,31.482,32.182,43.201,36.554,37.438,38.611,39.672,38.744,43.706,41.765,53.264,55.865,43.647,49.823,50.450,51.124,49.742,51.541,60.736
node/3686157132,40.962,0.000,13.688,17.442,22.589,22.949,30.663,33.661,33.481,34.364,28.730,29.946,38.293,38.317,39.839,49.594,62.699,40.733,38.418,39.776,56.904,42.147,43.347,44.407,53.343,46.233,43.981,40.344,52.124,38.828,47.204,47.865,43.632,49.448,40.795,48.865,47.079,49.154,50.817,53.661,46.608,40.152,51.045,46.480,44.797,46.866,44.610,42.868,46.482,48.599,45.964,46.340,47.393,47.252,45.901,54.676,48.468,47.260,47.311,44.768,48.581,55.681,45.970,44.879,46.315,48.526,50.319,50.125,51.062,56.072,47.168,47.254,46.784,46.769,48.142,52.723,47.225,47.879,57.261,47.556,47.874,48.515,48.361,49.521,52.650,49.535,48.953,48.687,51.979,53.513,49.685,49.293,50.632,49.102,49.544,51.212,50.185,49.860,56.071,50.638,52.797,50.452,61.131,50.354,52.087,49.519,50.434,51.332,57.125,50.348,59.709,55.490,59.431,54.672,52.400,52.208,59.754,62.363,54.415,53.842,53.726,62.638,62.181,60.807,55.729,60.174,55.712,52.260,54.944,55.019,55.580,56.702,65.865,55.241,55.999,56.901,57.156,58.014,57.953,65.814,55.712,56.727,56.495,65.344,64.714,70.719,56.996,59.013,55.048,75.312,58.026,58.898,66.023,68.055,63.700,57.475,67.778,69.633,73.712,77.051,75.075,58.661,60.980,68.708,61.805,62.505,71.377,66.876,67.760,68.933,69.994,76.615,81.577,72.087,81.440,93.736,73.969,87.694,88.322,88.995,80.064,81.864,98.607
node/4449837691,27.426,15.104,0.000,3.905,9.052,9.412,17.126,20.124,19.944,20.828,15.193,16.410,24.756,24.781,26.302,36.057,49.162,27.197,24.881,26.239,43.367,28.610,29.811,30.870,39.806,32.697,30.444,26.807,38.587,25.292,33.667,34.328,30.096,35.911,27.258,35.328,33.542,35.617,37.280,40.124,33.072,26.615,37.508,32.943,31.260,33.329,31.073,29.331,32.945,35.063,32.428,32.803,33.856,33.715,32.364,41.139,34.932,33.723,33.774,31.231,35.044,42.144,32.433,31.342,32.779,34.989,36.782,36.588,37.525,42.535,33.631,33.717,33.248,33.232,34.605,39.187,33.688,34.342,43.724,34.020,34.337,34.978,34.825,35.984,39.113,35.998,35.416,35.150,38.443,39.976,36.148,35.756,37.095,35.565,36.007,37.675,36.648,36.323,42.534,37.102,39.260,36.915,47.594,36.817,38.551,35.982,36.897,37.795,43.588,36.811,57.357,41.953,45.894,41.135,38.864,38.672,46.217,48.827,40.879,40.306,40.189,49.101,48.644,47.270,42.193,46.637,42.175,38.723,41.407,41.482,42.043,43.165,52.328,41.704,42.462,43.364,43.619,44.477,44.416,52.277,42.175,43.190,42.958,51.808,51.177,57.182,43.459,45.476,41.511,61.776,44.489,45.361,52.486,54.518,50.163,43.938,54.241,56.096,60.175,63.514,61.538,45.124,47.443,55.172,48.268,48.968,57.840,53.339,54.223,55.396,56.457,63.078,68.040,58.550,67.903,80.199,60.432,74.157,74.785,75.458,66.527,68.327,85.070
way/1497789845,24.391,17.381,4.329,0.000,4.763,6.378,13.451,17.089,16.269,17.963,12.158,13.375,21.721,21.746,23.267,32.383,46.127,24.162,21.846,23.204,40.333,25.575,26.776,27.835,36.772,29.662,27.409,23.772,35.552,22.257,30.633,31.294,27.061,32.876,24.223,32.293,30.508,32.583,34.246,37.089,30.037,23.580,34.473,29.908,28.226,30.294,28.038,26.296,29.911,32.028,29.393,29.768,30.821,30.680,29.330,38.105,31.897,30.688,30.740,28.196,32.009,39.109,29.399,28.307,29.744,31.955,33.747,33.553,34.490,39.500,30.596,30.683,30.213,30.197,31.570,36.152,30.654,31.308,40.689,30.985,31.302,31.943,31.790,32.950,36.078,32.963,32.382,32.115,35.408,36.941,33.113,32.721,34.060,32.531,32.973,34.640,33.613,33.288,39.499,34.067,36.225,33.880,44.560,33.783,35.516,32.947,33.862,34.761,40.553,33.776,54.322,38.918,42.859,38.100,35.829,35.637,43.182,45.792,37.844,37.271,37.155,46.067,45.610,44.236,39.158,43.602,39.140,35.689,38.372,38.447,39.008,40.130,49.294,38.669,39.427,40.330,40.584,41.443,41.382,49.242,39.141,40.156,39.923,48.773,48.142,54.147,40.424,42.442,38.476,58.741,41.454,42.327,49.451,51.483,47.128,40.903,51.206,53.061,57.140,60.479,58.503,42.089,44.409,52.137,45.233,45.933,54.805,50.304,51.188,52.361,53.423,60.044,65.006,55.516,64.868,77.165,57.397,71.122,71.750,72.423,63.492,65.292,82.036
way/301859277,22.444,20.894,7.843,4.649,0.000,2.305,12.991,15.142,15.809,17.503,10.211,11.428,19.774,19.799,21.320,31.923,44.180,22.215,19.899,21.257,38.386,23.628,24.829,25.888,34.825,27.715,25.462,21.826,33.605,20.310,28.686,29.347,25.114,30.929,22.276,30.346,28.561,30.636,32.299,35.142,28.090,21.633,32.526,27.961,26.279,28.347,26.091,24.349,27.964,30.081,27.446,27.821,28.874,28.733,27.383,36.158,29.950,28.741,28.793,26.249,30.062,37.162,27.452,26.360,27.797,30.008,31.800,31.606,32.543,37.553,28.649,28.736,28.266,28.250,29.623,34.205,28.706,29.361,38.742,29.038,29.356,29.996,29.843,31.003,34.131,31.016,30.434,30.168,33.461,34.994,31.166,30.775,32.113,30.584,31.026,32.693,31.666,31.341,37.552,32.120,34.279,31.933,42.613,31.836,33.569,31.000,31.915,32.814,38.606,31.829,52.375,36.971,40.912,36.154,33.882,33.690,41.236,43.845,35.897,35.324,35.208,44.120,43.663,42.289,37.211,41.655,37.193,33.742,36.425,36.500,37.061,38.184,47.346,36.722,37.480,38.383,38.637,39.496,39.435,47.295,37.194,38.209,37.976,46.826,46.195,52.200,38.477,40.495,36.529,56.794,39.507,40.380,47.504,49.536,45.181,38.956,49.260,51.114,55.193,58.532,56.556,40.142,42.462,50.190,43.286,43.986,52.858,48.358,49.242,50.414,51.476,58.097,63.059,53.569,62.921,75.218,55.450,69.175,69.803,70.476,61.545,63.345,80.089
way/759987899,23.468,22.795,9.743,5.937,2.539,0.000,11.683,15.834,14.501,16.195,9.580,11.706,21.678,21.703,23.224,30.614,45.135,24.119,20.854,25.629,39.341,25.532,25.784,27.792,35.780,30.680,26.418,22.104,34.561,20.588,29.641,30.302,27.181,31.207,22.554,30.624,29.516,31.591,32.577,36.097,28.368,21.911,34.364,28.239,26.557,28.625,26.369,24.627,28.242,30.359,27.724,28.099,29.152,29.011,27.661,36.436,30.228,29.020,29.071,26.527,30.340,37.440,27.730,26.638,28.075,30.286,32.078,31.884,32.821,38.508,28.927,29.014,28.544,28.528,29.901,34.483,28.985,29.639,39.697,29.316,29.634,30.274,30.121,31.281,34.409,31.294,30.712,30.446,33.739,35.272,31.444,31.053,32.391,30.862,31.304,32.971,31.944,31.619,37.830,32.398,34.556,32.211,42.891,32.114,33.847,31.278,32.193,33.092,38.884,32.107,52.653,37.249,41.190,36.431,34.160,33.968,41.514,44.800,36.175,35.602,35.486,45.075,44.618,42.567,37.489,41.933,37.471,34.020,36.703,36.778,37.340,38.462,47.625,37.000,37.758,38.661,38.915,39.774,39.713,47.573,37.472,38.487,38.254,47.781,46.473,52.478,38.755,40.773,36.807,57.072,39.785,40.657,48.459,50.491,45.459,39.234,50.215,51.392,55.471,58.810,56.834,40.420,42.740,51.145,43.564,44.264,53.136,48.636,49.520,50.692,51.754,59.052,64.014,53.846,63.200,76.173,55.728,70.131,70.758,71.431,61.823,63.623,81.044
way/1125139659,16.499,30.365,17.313,13.397,13.263,11.587,0.000,5.441,3.842,5.533,12.049,16.055,14.840,14.865,16.386,20.205,26.477,17.281,13.265,16.323,22.890,17.534,18.866,19.806,28.190,21.633,18.828,17.253,26.971,17.884,22.051,22.712,19.021,34.681,18.585,34.098,21.926,24.001,36.051,28.508,31.842,20.627,26.775,24.242,23.681,32.877,28.371,23.401,22.670,26.362,29.726,23.474,25.155,25.014,29.663,39.910,24.656,31.021,24.210,28.390,26.343,33.443,24.133,28.502,25.780,32.288,34.330,26.313,35.072,30.919,26.260,30.877,26.249,26.233,31.903,29.100,30.848,27.344,32.108,27.021,27.666,28.307,28.154,33.144,36.660,28.467,28.745,28.479,35.741,37.524,33.307,29.085,28.813,28.567,33.167,34.973,29.977,33.482,41.304,30.431,36.558,34.075,38.894,29.819,31.880,33.142,30.226,34.955,42.358,33.971,56.127,39.251,44.664,38.433,31.536,32.001,44.988,37.210,31.401,31.334,37.349,37.485,37.028,38.569,39.491,45.407,32.681,35.883,32.152,34.811,39.341,41.250,51.099,38.864,39.760,40.663,40.917,41.776,41.714,51.047,39.335,40.488,40.117,40.191,49.948,55.952,40.618,39.011,38.670,60.546,41.649,42.521,40.870,42.902,47.461,41.098,42.625,54.866,58.945,62.284,60.308,42.283,44.603,43.555,45.427,46.127,56.611,50.637,51.521,52.694,53.755,51.462,56.424,55.848,66.674,68.583,57.592,62.541,63.169,63.842,63.687,65.625,73.454
node/746627029,13.633,32.872,19.821,16.014,14.115,13.996,5.498,0.000,2.031,4.135,5.964,9.970,11.974,11.999,13.520,20.457,26.729,14.415,10.399,13.457,23.143,15.828,15.329,18.088,25.324,19.915,15.962,14.386,24.105,15.018,19.185,19.846,16.155,31.164,15.719,30.581,19.060,21.135,32.533,25.642,28.325,17.761,23.909,21.376,20.815,29.360,25.505,20.535,19.804,23.496,26.860,20.608,22.289,22.148,26.797,36.392,21.790,28.155,21.344,25.524,23.477,30.577,21.267,25.636,22.914,29.422,31.463,23.447,32.206,28.053,23.394,28.011,23.383,23.367,29.037,26.234,27.982,24.478,29.242,24.155,24.800,25.441,25.288,30.278,33.794,25.601,25.879,25.613,32.874,34.658,30.442,26.219,25.947,25.701,30.301,32.107,27.111,30.616,37.787,27.565,33.692,31.209,36.028,26.953,29.014,30.276,27.360,32.089,38.841,31.105,52.610,36.385,41.147,35.567,28.670,29.135,41.470,34.344,28.535,28.468,34.483,34.619,34.162,35.703,36.625,41.890,29.814,33.017,29.286,31.945,36.475,38.384,47.581,35.998,36.894,37.797,38.051,38.910,38.848,47.530,36.469,37.622,37.251,37.325,46.430,52.435,37.752,36.145,35.804,57.029,38.783,39.655,38.004,40.036,44.595,38.232,39.759,51.349,55.428,58.767,56.791,39.417,41.737,40.689,42.561,43.261,53.093,47.771,48.655,49.828,50.889,48.596,53.558,52.982,63.156,65.717,54.726,59.675,60.303,60.976,60.821,62.759,70.588
way/298902402,13.456,35.635,22.583,16.911,16.776,15.101,3.997,2.244,0.000,2.210,8.726,12.732,11.798,11.822,13.344,18.956,25.228,14.238,10.222,13.281,21.642,15.652,15.152,17.912,25.148,19.738,15.786,14.210,23.929,14.842,19.009,19.670,15.979,31.639,15.543,31.056,18.884,20.959,33.008,25.465,28.800,17.584,23.732,21.200,20.639,29.835,25.329,20.359,19.628,23.319,26.683,20.432,22.113,21.971,26.620,36.868,21.614,27.979,21.167,25.348,23.301,30.400,21.091,25.459,22.738,29.245,31.287,23.270,32.030,27.876,23.218,27.835,23.207,23.191,28.861,26.058,27.805,24.302,29.065,23.979,24.624,25.265,25.111,30.102,33.618,25.424,25.703,25.437,32.698,34.481,30.265,26.043,25.770,25.525,30.125,31.930,26.935,30.440,38.262,27.388,33.516,31.032,35.851,26.777,28.837,30.099,27.184,31.913,39.316,30.928,53.085,36.209,41.622,35.391,28.493,28.958,41.945,34.168,28.358,28.291,34.307,34.443,33.986,35.527,36.448,42.365,29.638,32.841,29.110,31.768,36.299,38.208,48.056,35.821,36.718,37.620,37.874,38.733,38.672,48.005,36.292,37.446,37.075,37.149,46.905,52.910,37.576,35.969,35.628,57.504,38.606,39.478,37.827,39.859,44.419,38.055,39.583,51.824,55.903,59.242,57.266,39.241,41.561,40.513,42.385,43.085,53.568,47.595,48.479,49.652,50.713,48.420,53.382,52.806,63.631,65.541,54.549,59.499,60.126,60.800,60.644,62.582,70.412
way/60044139,11.538,33.839,20.787,16.980,15.082,16.569,5.459,3.082,2.340,0.000,6.930,10.936,9.879,9.904,11.425,20.418,32.585,12.320,8.304,11.362,26.791,13.734,13.234,15.993,23.230,17.820,13.867,12.292,22.010,12.923,17.091,17.752,14.061,29.721,13.624,29.137,16.965,19.040,31.090,23.547,26.881,15.666,21.814,19.281,18.720,27.916,23.410,18.440,17.709,21.401,24.765,18.513,20.194,20.053,24.702,34.949,19.696,26.061,19.249,23.430,21.382,28.482,19.172,23.541,20.820,27.327,29.369,21.352,30.112,25.958,21.299,25.916,21.288,21.273,26.942,24.139,25.887,22.383,27.147,22.061,22.706,23.346,23.193,28.183,31.700,23.506,23.785,23.518,30.780,32.563,28.347,24.125,23.852,23.606,28.206,30.012,25.016,28.522,36.344,25.470,31.598,29.114,33.933,24.858,26.919,28.181,25.265,29.994,37.398,29.010,51.167,34.290,39.704,33.472,26.575,27.040,40.027,32.250,26.440,26.373,32.388,32.525,32.068,33.609,34.530,40.447,27.720,30.922,27.192,29.850,34.380,36.289,46.138,33.903,34.799,35.702,35.956,36.815,36.754,46.087,34.374,35.528,35.157,35.231,44.987,50.992,35.658,34.050,33.710,55.586,36.688,37.560,35.909,37.941,42.500,36.137,37.664,49.906,53.984,57.324,55.347,37.323,39.642,38.595,40.467,41.166,51.650,45.676,46.561,47.733,48.795,46.501,51.464,50.888,61.713,63.622,52.631,57.580,58.208,58.881,58.726,60.664,68.493
