,office,node/3686157132,node/4449837691,way/1497789845,way/301859277,way/759987899,way/1125139659,node/746627029,way/298902402,way/60044139,node/13377797577,node/2061879185,node/10266409318,node/1112015371,node/2599542242,node/10792703614,way/1050768070,way/1173781965,way/1156068846,node/1092878580,node/13192600286,node/11401552485,node/2631338026,way/418665227,node/2905961116,node/2784089953,way/431072075,node/13457640691,way/471722581,node/12587586255,way/502841208,node/1511622328,node/2613719490,node/1998376334,node/11083618706,node/1998376340,node/4065359328,way/101974944,node/11794162206,way/332587893,way/667746336,node/10726315310,node/4912455161,node/6723530125,way/1163945142,way/753703519,way/283638701,node/4374935729,node/5602005239,way/1094224072,way/674299894,node/3777486881,node/622204540,way/473868951,node/3123215557,way/304004266,node/2304484464,node/1080996458,node/4769471534,node/10937770886,node/2636758535,node/1600767375,node/2606420203,node/3254987866,node/3895220847,node/11210080138,way/1131163538,node/2304484684,node/10011137809,way/326955764,node/12196594520,node/2529991306,node/2078116017,node/5586709673,node/2939048403,way/223128134,node/2951316219,way/681503955,way/568771392,node/4678874493,node/7341225608,node/12425250871,node/178821228,way/261806925,node/12144695461,node/184049470,node/10827905563,node/2651530874,way/511539213,node/4666017389,node/2621636923,node/902327015,node/363997548,node/1128664813,node/4610137789,node/6121549487,node/622204591,node/3523190952,way/170505341,node/674477959,node/26289763,node/327528975,node/614939487,node/4338377884,node/11269074158,node/5109205856,node/4077525244,node/3056287062,way/1454716354,node/3014835252,way/1139030278,node/5210751039,node/1762579478,node/1452885165,node/4769476622,node/1992854977,node/3974972557,way/997439163,node/12433858548,node/3113588327,node/4609504482,node/332074128,way/945061262,node/336262498,node/6566648095,node/627574779,node/302790436,way/585852861,node/2580708138,node/5884199085,node/3211789361,node/4921020221,node/4343081824,node/3770301444,way/1360293399,node/2182364515,way/293463784,node/10606501241,way/1360293417,node/13176973077,node/13904673940,node/4715569699,way/499614429,way/743710865,node/871073568,way/376470743,node/262353392,node/2551116095,node/2606625338,node/2134285281,node/5176377207,node/9540446866,node/4394136790,node/5830690815,way/994058707,node/3057780133,way/908382642,node/831025935,node/810206915,node/637776200,way/313495189,node/4734171440,node/299938277,node/529705675,node/6922982209,node/3876914565,way/1349747787,node/2068640057,node/1444943078,way/477207073,node/2648889791,way/1367403155,way/1330622520,node/292354225,node/8936265515,node/1312900851,way/442113937,node/470926455,way/441440085,node/7137691094,node/5799799202,node/12403420156,way/1003915685
office,0.00,34.28,23.68,19.63,21.01,20.65,16.99,18.69,15.29,13.46,13.74,13.17,14.56,13.87,15.32,23.12,24.21,15.76,11.83,12.15,21.89,13.26,12.49,16.80,17.82,20.23,9.27,2.62,18.72,5.84,14.73,18.52,7.53,20.82,3.24,20.10,12.04,16.81,23.69,20.66,18.24,9.53,15.36,10.28,9.43,14.62,13.67,11.62,10.87,13.51,16.21,11.75,12.98,12.65,14.96,21.18,12.94,17.83,12.21,15.61,15.61,19.37,13.92,15.06,14.86,18.05,18.87,15.65,16.53,21.40,15.79,18.01,15.68,15.85,16.32,20.62,17.03,17.61,21.96,18.04,16.67,19.03,18.77,20.41,19.50,20.80,18.32,18.58,22.00,20.23,20.27,19.81,21.23,20.62,19.51,21.33,21.05,19.57,23.47,21.81,20.32,21.46,22.05,22.14,22.77,19.46,21.27,21.45,21.09,20.19,39.71,24.42,24.22,22.78,24.84,24.47,25.21,25.02,24.79,24.47,23.70,24.23,23.08,21.99,22.44,25.42,27.02,22.28,25.50,24.07,22.08,24.16,28.89,25.77,22.72,24.75,23.80,24.33,25.63,29.03,27.29,23.86,26.71,30.05,28.60,31.98,28.17,27.26,25.18,39.62,27.16,29.71,29.19,30.16,29.60,26.89,31.30,31.12,33.93,36.71,33.54,29.08,29.25,29.06,29.82,30.23,33.84,32.76,33.05,35.38,34.58,36.02,44.06,34.10,39.99,54.12,43.22,43.54,44.99,44.84,45.76,40.15,57.64
node/3686157132,35.48,0.00,12.92,15.85,22.32,22.98,29.40,33.13,31.67,31.24,24.80,26.66,33.40,34.60,34.74,46.53,48.47,36.01,33.14,37.65,46.15,36.57,36.83,39.29,42.08,43.48,37.69,35.72,42.45,33.32,40.40,42.08,40.11,41.68,35.81,40.95,41.06,40.17,44.54,44.38,39.24,36.44,42.89,39.43,38.60,39.62,37.73,36.30,40.03,42.09,38.61,39.66,41.74,41.41,37.37,43.89,41.71,40.23,40.77,38.02,44.37,46.91,39.98,37.47,39.84,40.45,43.87,44.41,41.53,44.76,40.63,40.42,40.66,40.82,38.73,48.34,39.43,42.59,45.32,43.02,40.86,43.22,42.96,42.82,44.51,45.66,42.51,42.77,45.79,45.23,42.68,44.00,46.14,45.60,41.92,43.73,45.24,41.98,47.51,46.00,42.72,43.87,50.25,47.11,46.96,41.87,45.45,43.86,44.67,42.60,59.59,46.82,47.80,45.36,49.12,48.66,48.79,51.08,48.68,46.87,46.11,50.65,49.61,49.53,44.85,49.01,49.43,44.68,47.90,48.25,44.49,49.47,52.47,48.17,45.13,47.16,46.21,46.73,48.03,52.61,49.70,46.26,49.12,56.57,52.18,55.56,50.57,51.34,47.58,63.20,49.57,52.12,52.67,53.64,52.01,49.29,54.78,54.71,57.51,60.29,57.12,51.48,51.65,52.54,52.23,52.64,57.42,55.17,55.45,57.79,56.98,59.50,67.54,56.51,63.57,77.60,65.62,67.02,68.47,68.32,68.16,62.55,81.13
node/4449837691,24.89,17.39,0.00,5.26,11.73,12.39,18.81,22.55,21.08,20.65,14.21,16.07,22.81,24.01,24.15,35.94,37.88,25.42,22.55,27.06,35.56,25.98,26.24,28.70,31.49,32.90,27.11,25.13,31.86,22.73,29.82,31.49,29.52,31.09,25.22,30.37,30.48,29.58,33.95,33.80,28.66,25.85,32.31,28.84,28.01,29.03,27.14,25.71,29.44,31.50,28.02,29.07,31.15,30.82,26.78,33.30,31.12,29.64,30.18,27.43,33.78,36.32,29.39,26.88,29.25,29.86,33.28,33.82,30.94,34.17,30.04,29.83,30.07,30.23,28.14,37.75,28.85,32.00,34.73,32.43,30.27,32.63,32.37,32.23,33.92,35.07,31.92,32.18,35.20,34.64,32.09,33.41,35.55,35.01,31.33,33.15,34.65,31.39,36.92,35.41,32.13,33.28,39.66,36.52,36.37,31.28,34.87,33.27,34.08,32.01,51.91,36.23,37.21,34.77,38.53,38.07,38.20,40.49,38.10,36.28,35.52,40.06,39.02,38.94,34.26,38.42,38.84,34.10,37.31,37.66,33.90,38.88,41.88,37.58,34.54,36.57,35.62,36.15,37.45,42.02,39.11,35.67,38.53,45.98,41.59,44.97,39.98,40.75,36.99,52.61,38.98,41.53,42.08,43.05,41.42,38.71,44.19,44.12,46.92,49.71,46.53,40.90,41.06,41.96,41.64,42.05,46.84,44.58,44.87,47.20,46.39,48.91,56.95,45.92,52.98,67.01,55.04,56.43,57.88,57.73,57.58,51.97,70.54
way/1497789845,22.02,16.67,6.07,0.00,7.37,9.51,14.37,19.67,16.63,17.41,11.34,13.20,19.93,21.14,21.28,31.49,35.01,22.55,19.68,24.19,32.69,23.11,23.37,25.83,28.62,30.02,24.23,22.26,28.99,19.86,26.94,28.62,26.64,28.22,22.35,27.49,27.60,26.71,31.08,30.92,25.79,22.98,29.43,25.97,25.14,26.16,24.27,22.84,26.57,28.63,25.15,26.20,28.28,27.95,23.91,30.43,28.25,26.77,27.31,24.56,30.91,33.45,26.52,24.01,26.38,26.99,30.41,30.95,28.07,31.30,27.17,26.96,27.20,27.36,25.27,34.88,25.98,29.12,31.86,29.56,27.40,29.75,29.50,29.36,31.05,32.20,29.05,29.31,32.33,31.77,29.22,30.54,32.68,32.14,28.46,30.27,31.78,28.52,34.05,32.54,29.26,30.40,36.79,33.65,33.50,28.41,31.99,30.39,31.21,29.14,49.03,33.36,34.34,31.90,35.66,35.20,35.33,37.62,35.23,33.41,32.65,37.19,36.15,36.07,31.39,35.54,35.97,31.23,34.44,34.79,31.03,36.01,39.01,34.71,31.67,33.70,32.75,33.27,34.57,39.15,36.23,32.80,35.66,43.11,38.72,42.10,37.11,37.88,34.12,49.74,36.11,38.66,39.21,40.18,38.54,35.83,41.32,41.25,44.05,46.83,43.66,38.02,38.19,39.08,38.77,39.18,43.97,41.71,41.99,44.33,43.52,46.04,54.08,43.05,50.11,64.14,52.16,53.56,55.01,54.86,54.70,49.09,67.67
way/301859277,23.30,21.81,11.21,7.06,0.00,6.40,15.50,20.96,17.77,18.54,12.62,14.49,21.22,22.42,22.57,32.63,36.29,23.83,20.96,25.47,33.97,24.40,24.65,27.11,29.90,31.31,25.52,23.54,30.27,21.14,28.23,29.90,27.93,29.50,23.63,28.78,28.89,28.00,32.37,32.21,27.07,24.27,30.72,27.25,26.43,27.44,25.55,24.13,27.86,29.91,26.44,27.48,29.57,29.24,25.19,31.72,29.53,28.06,28.60,25.85,32.19,34.73,27.81,25.29,27.66,28.28,31.70,32.23,29.36,32.58,28.45,28.24,28.48,28.65,26.56,36.16,27.26,30.41,33.15,30.84,28.68,31.04,30.79,30.64,32.33,33.48,30.33,30.59,33.61,33.06,30.50,31.82,33.96,33.42,29.74,31.56,33.07,29.80,35.33,33.82,30.55,31.69,38.08,34.94,34.79,29.70,33.28,31.68,32.49,30.43,50.32,34.65,35.63,33.18,36.95,36.48,36.62,38.90,36.51,34.70,33.93,38.48,37.44,37.35,32.67,36.83,37.25,32.51,35.73,36.08,32.32,37.29,40.30,36.00,32.95,34.98,34.04,34.56,35.86,40.44,37.52,34.09,36.95,44.39,40.00,43.38,38.40,39.17,35.41,51.03,37.39,39.95,40.50,41.47,39.83,37.12,42.61,42.53,45.34,48.12,44.95,39.31,39.48,40.37,40.05,40.47,45.25,42.99,43.28,45.62,44.81,47.33,55.36,44.34,51.40,65.43,53.45,54.84,56.29,56.14,55.99,50.38,68.95
way/759987899,23.27,22.57,11.97,7.91,6.49,0.00,14.13,18.98,16.40,17.18,11.82,14.57,19.88,21.09,21.23,31.26,34.32,22.50,19.00,23.65,32.01,23.06,22.69,25.78,27.94,29.64,23.55,23.62,28.31,21.23,26.26,27.93,26.34,29.58,23.71,28.86,26.92,26.03,32.45,30.24,27.15,24.35,29.67,27.33,26.50,27.52,25.63,24.21,27.94,29.99,26.52,27.56,29.65,29.32,25.27,31.80,29.61,28.14,28.68,25.93,32.27,34.81,27.89,25.37,27.74,28.36,31.78,32.31,29.43,30.62,28.54,28.32,28.56,28.73,26.64,36.24,27.34,30.49,31.18,30.92,28.77,31.12,30.87,30.73,32.41,33.56,30.41,30.67,33.69,33.14,30.58,31.90,34.04,33.51,29.82,31.64,33.15,29.88,35.41,33.90,30.63,31.77,38.16,35.02,34.87,29.78,33.36,31.76,32.58,30.50,50.40,34.73,35.71,33.26,37.02,36.56,36.70,36.93,36.59,34.78,34.01,36.51,35.47,37.43,32.75,36.91,37.33,32.59,35.81,36.16,32.40,37.37,40.38,36.08,33.03,35.06,34.12,34.64,35.94,40.52,37.60,34.17,37.03,42.42,40.08,43.46,38.48,39.25,35.49,51.11,37.47,40.03,38.53,39.50,39.91,37.20,40.64,42.61,45.42,48.20,45.02,39.39,39.56,38.40,40.13,40.55,45.33,43.07,43.36,45.70,44.89,45.36,53.40,44.41,51.48,63.46,53.53,52.88,54.33,54.18,56.07,50.46,66.98
way/1125139659,17.20,29.92,19.32,14.39,16.23,14.24,0.00,9.46,5.67,7.18,13.35,19.32,14.73,15.93,16.08,20.11,25.76,17.34,14.40,18.98,24.28,16.64,17.93,20.18,23.34,24.38,18.96,17.86,23.71,17.39,21.67,23.34,21.25,29.73,19.03,29.01,22.33,21.43,32.60,25.65,27.30,22.30,25.07,23.46,22.36,28.02,26.61,22.56,22.20,26.12,27.49,22.69,25.78,25.45,26.24,31.95,23.87,29.11,23.14,26.98,28.40,30.94,24.85,26.43,25.79,29.33,32.36,26.58,30.02,26.02,26.72,29.38,26.61,26.78,27.61,31.91,28.39,28.54,26.58,28.97,27.60,29.96,29.70,31.78,32.99,31.73,29.25,29.51,34.66,33.72,31.64,30.74,32.16,31.55,30.88,32.61,31.98,30.94,35.56,32.74,31.60,32.83,34.28,33.07,33.70,30.83,32.20,32.82,32.73,31.56,50.55,35.70,35.86,34.23,35.77,35.40,36.85,32.34,35.72,35.57,35.07,31.91,30.88,33.56,33.72,37.06,37.99,33.65,36.78,35.00,33.37,35.73,40.53,37.13,34.00,36.03,35.09,35.61,36.91,40.67,38.66,35.14,38.08,37.83,40.23,43.61,39.53,38.19,36.54,51.26,38.52,41.08,33.93,34.91,40.88,38.25,36.04,42.76,45.57,48.35,45.18,40.45,40.61,33.81,41.19,41.60,45.48,44.04,44.33,46.66,45.86,40.76,48.80,45.38,51.63,58.87,54.59,48.28,49.73,49.58,57.12,51.43,62.39
node/746627029,17.96,32.62,22.02,17.96,19.35,18.95,9.87,0.00,5.21,8.05,9.33,15.30,15.50,16.70,16.84,23.04,28.69,18.11,15.17,19.75,27.21,18.67,18.86,21.39,24.11,25.58,19.72,18.62,24.48,18.16,22.43,24.11,22.02,29.98,19.79,29.26,23.09,22.20,32.85,26.41,27.55,23.07,25.84,24.23,23.12,28.27,27.37,23.32,22.97,26.89,28.25,23.45,26.54,26.21,27.01,32.20,24.64,29.88,23.90,27.75,29.17,31.70,25.62,27.19,26.56,30.09,33.13,27.34,30.78,26.79,27.49,30.14,27.38,27.55,28.37,32.68,29.16,29.31,27.35,29.74,28.37,30.73,30.47,32.55,33.76,32.50,30.02,30.28,35.43,34.48,32.41,31.51,32.92,32.32,31.64,33.38,32.75,31.70,35.81,33.51,32.36,33.59,35.05,33.84,34.47,31.60,32.96,33.58,32.98,32.33,50.80,36.46,36.11,35.00,36.54,36.17,37.10,33.11,36.49,36.34,35.83,32.68,31.64,34.33,34.49,37.31,38.75,34.41,37.55,35.76,34.13,36.49,40.78,37.90,34.77,36.80,35.85,36.38,37.67,40.92,39.42,35.90,38.85,38.60,40.48,43.86,40.30,38.96,37.31,51.51,39.29,41.85,34.70,35.67,41.65,39.02,36.81,43.01,45.82,48.60,45.43,41.21,41.38,34.57,41.95,42.37,45.73,44.81,45.09,47.43,46.62,41.53,49.57,46.15,51.88,59.63,55.35,49.05,50.50,50.35,57.89,52.20,63.16
way/298902402,14.17,32.92,22.32,17.71,19.55,17.55,5.81,5.07,0.00,3.46,9.62,15.60,11.71,12.91,13.05,18.98,24.63,14.32,11.38,15.96,23.15,14.88,15.07,17.60,20.32,21.80,15.93,14.83,20.69,14.37,18.64,20.32,18.23,26.71,16.00,25.99,19.30,18.41,29.58,22.62,24.28,19.28,22.05,20.44,19.33,25.00,23.58,19.53,19.18,23.10,24.46,19.66,22.75,22.42,23.22,28.93,20.85,26.08,20.12,23.96,25.38,27.92,21.83,23.40,22.77,26.30,29.34,23.55,26.99,23.00,23.70,26.36,23.59,23.75,24.58,28.89,25.37,25.52,23.56,25.95,24.58,26.93,26.68,28.76,29.97,28.71,26.23,26.49,31.64,30.70,28.62,27.72,29.13,28.53,27.85,29.58,28.96,27.92,32.54,29.72,28.57,29.80,31.26,30.05,30.68,27.81,29.17,29.79,29.70,28.54,47.53,32.67,32.84,31.21,32.75,32.38,33.83,29.32,32.70,32.55,32.04,28.89,27.85,30.54,30.70,34.04,34.96,30.62,33.76,31.97,30.34,32.70,37.51,34.11,30.98,33.01,32.06,32.59,33.88,37.65,35.63,32.11,35.06,34.81,37.21,40.59,36.51,35.16,33.52,48.23,35.50,38.06,30.91,31.88,37.86,35.23,33.02,39.74,42.54,45.33,42.15,37.42,37.59,30.78,38.16,38.58,42.46,41.02,41.30,43.64,42.83,37.74,45.78,42.36,48.61,55.84,51.56,45.26,46.71,46.56,54.10,48.41,59.37
way/60044139,11.95,30.83,20.23,16.18,17.56,17.12,6.58,6.54,3.02,0.00,7.54,13.51,9.48,10.68,10.83,19.75,24.48,12.09,9.15,13.73,22.16,12.65,12.84,15.37,18.09,19.57,13.71,12.61,18.46,12.14,16.42,18.09,16.00,24.48,13.78,23.76,17.08,16.18,27.35,20.40,22.05,17.05,19.82,18.21,17.11,22.77,21.36,17.31,16.95,20.87,22.24,17.44,20.53,20.20,20.99,26.70,18.62,23.86,17.89,21.73,23.15,25.69,19.60,21.18,20.54,24.08,27.11,21.33,24.77,20.77,21.47,24.13,21.36,21.53,22.36,26.66,23.14,23.29,21.33,23.72,22.35,24.71,24.45,26.53,27.74,26.48,24.00,24.26,29.41,28.47,26.39,25.49,26.91,26.30,25.63,27.36,26.73,25.69,30.31,27.49,26.35,27.57,29.04,27.82,28.45,25.58,26.95,27.57,27.48,26.31,45.30,30.45,30.61,28.98,30.52,30.15,31.60,27.09,30.47,30.32,29.82,26.66,25.63,28.31,28.47,31.81,32.74,28.39,31.54,29.75,28.12,30.48,35.28,31.88,28.75,30.78,29.84,30.36,31.66,35.42,33.41,29.89,32.83,32.58,34.98,38.36,34.28,32.94,31.29,46.01,33.27,35.83,28.68,29.65,35.63,33.00,30.79,37.51,40.32,43.10,39.93,35.20,35.36,28.56,35.94,36.35,40.23,38.79,39.08,41.41,40.61,35.51,43.55,40.13,46.38,53.62,49.34,43.03,44.48,44.33,51.87,46.18,57.14
